Disease,Symptoms,Gender,Age,Medicine
Iron-Refractory Iron Deficiency Anemia,Same as iron deficiency anemia,Gender Neutral,Any age,IV iron
Isolated Growth Hormone Deficiency,Short stature,Gender Neutral,Childhood,Growth hormone
Idiopathic Guttate Hypomelanosis,Small white spots on skin,More common in females,40+ years,Cosmetic treatments
Infectious Endocarditis,"Fever, heart murmur, fatigue",More common in males,Any age,IV antibiotics
Inborn Errors of Metabolism,Varies by specific disorder,Gender Neutral,Usually infancy,Dietary management
Jaundice,"Yellowing of skin/eyes, dark urine, pale stools",Gender Neutral,Any age (common in newborns),"Treat underlying cause (e.g., phototherapy for newborns)"
Juvenile Idiopathic Arthritis (JIA),"Joint pain, swelling, stiffness in children",More common in females,Children (<16 years),"NSAIDs, DMARDs (methotrexate)"
Japanese Encephalitis,"Fever, headache, seizures, confusion",Gender Neutral,Any age (endemic areas),"Supportive care, vaccination for prevention"
Jock Itch (Tinea Cruris),"Red, itchy rash in groin area",More common in males,Teens to adults,Antifungal creams (clotrimazole)
Junctional Epidermolysis Bullosa,"Fragile skin, blisters from minor trauma",Gender Neutral,Infancy (congenital),"Wound care, pain management"
Jejunal Atresia,"Vomiting, abdominal distension (in newborns)",Gender Neutral,Newborns,Surgical repair
Jet Lag,"Fatigue, insomnia, digestive issues after travel",Gender Neutral,Any age,"Melatonin, light therapy"
Juvenile Diabetes (Type 1 Diabetes),"Excessive thirst, weight loss, fatigue",Gender Neutral,Children/teens,Insulin therapy
Jaccoud’s Arthropathy,Joint deformities (reversible),More common in females,Adults,Treat underlying rheumatic disease
Jaw Dislocation (TMJ Dislocation),"Inability to close mouth, pain",More common in females,Adults,"Manual reduction, muscle relaxants"
Juvenile Polyposis Syndrome,"Multiple polyps in GI tract, bleeding",Gender Neutral,Childhood/teens,"Endoscopic removal, surgery"
Jansen’s Metaphyseal Chondrodysplasia,"Short stature, bowed legs",Gender Neutral,Congenital,Supportive care
Job Syndrome (Hyper-IgE Syndrome),"Recurrent infections, eczema, high IgE",Gender Neutral,Childhood,"Antibiotics, antifungals"
Jugular Vein Thrombosis,"Neck pain, swelling, headache",Gender Neutral,Adults,Anticoagulants (heparin)
Juvenile Myoclonic Epilepsy,"Muscle jerks, seizures (morning)",Gender Neutral,Teens,Anticonvulsants (valproate)
Junctional Rhythm (Heart),Often asymptomatic; slow heart rate,Gender Neutral,Any age,Pacemaker (if symptomatic)
Jessner’s Lymphocytic Infiltrate,Red plaques on face/neck,More common in females,Adults,Topical steroids
Juvenile Hyaline Fibromatosis,"Skin nodules, joint contractures",Gender Neutral,Infancy/childhood,Surgical removal of nodules
Jumping Frenchmen of Maine,Exaggerated startle response,Gender Neutral,Any age,Clonazepam
Jejunal Diverticulosis,"Often asymptomatic; bloating, diarrhea",Gender Neutral,50+ years,"Dietary fiber, antibiotics if infected"
Jarcho-Levin Syndrome,"Rib/spine abnormalities, respiratory issues",Gender Neutral,Congenital,Supportive care
Juvenile Osteoporosis,"Bone fractures, back pain",Gender Neutral,Children/teens,Bisphosphonates
Junctional Nevus,"Flat, dark mole",Gender Neutral,Any age,"Monitoring, excision if suspicious"
Jod-Basedow Phenomenon,Hyperthyroidism after iodine exposure,Gender Neutral,Any age,Antithyroid drugs
Juvenile Xanthogranuloma,Yellowish skin nodules,Gender Neutral,Infants/children,Usually resolves spontaneously
Kawasaki Disease,"Fever, rash, swollen hands/feet, red eyes",More common in males,Children <5 years,"IV immunoglobulin, aspirin"
Keratitis,"Eye pain, redness, blurred vision",Gender Neutral,Any age,Antibiotic/antifungal eye drops
Kidney Stones (Nephrolithiasis),"Severe flank pain, blood in urine, nausea",More common in males,30-60 years,"Pain relievers (NSAIDs), hydration"
Keloid,"Raised, thickened scar tissue",More common in females,10-30 years,"Steroid injections, silicone gels"
Klinefelter Syndrome,"Tall stature, small testes, infertility",Male,Congenital (lifelong),Testosterone therapy
Kyphosis,Excessive rounding of the upper back,Gender Neutral,Teens (Scheuermann’s) or elderly,"Physical therapy, bracing"
Kaposi’s Sarcoma,"Purple skin lesions, swelling",More common in males,Adults (HIV-associated),"Chemotherapy, antiretrovirals"
Keratosis Pilaris,"Rough, bumpy skin (chicken skin)",Gender Neutral,Children to adults,"Moisturizers, lactic acid creams"
Klebsiella Infection,"Pneumonia, UTIs, wound infections",Gender Neutral,Any age,Antibiotics (carbapenems)
Kwashiorkor,"Edema, skin lesions, hair loss",Gender Neutral,Children (severe malnutrition),Nutritional rehabilitation
Korsakoff Syndrome,"Memory loss, confusion (alcohol-related)",More common in males,40+ years,"Thiamine, abstinence"
Knee Osteoarthritis,"Joint pain, stiffness, swelling",More common in females,50+ years,"NSAIDs, hyaluronic acid injections"
Keloid Scars,Same as keloid,More common in females,10-30 years,Same as keloid
Keratoconus,"Blurred vision, light sensitivity",Gender Neutral,Teens to 30s,"Rigid contact lenses, corneal cross-linking"
Krabbe Disease,"Muscle weakness, developmental delay",Gender Neutral,Infancy (fatal by age 2),Supportive care
Kidney Infection (Pyelonephritis),"Fever, flank pain, painful urination",More common in females,Any age,Antibiotics (ciprofloxacin)
Klippel-Feil Syndrome,"Short neck, limited mobility",Gender Neutral,Congenital,"Physical therapy, surgery"
Keratoconjunctivitis Sicca (Dry Eye Syndrome),"Dry, gritty eyes, redness",More common in females,50+ years,"Artificial tears, cyclosporine drops"
Kuru,"Tremors, loss of coordination (prion disease)",Gender Neutral,Adults,No cure (fatal)
Knee Bursitis,"Swelling, pain over kneecap",Gender Neutral,Adults,"NSAIDs, aspiration"
Klippel-Trenaunay Syndrome,"Port-wine stain, limb overgrowth",Gender Neutral,Congenital,"Compression therapy, surgery"
Kala-Azar (Visceral Leishmaniasis),"Fever, weight loss, enlarged spleen",Gender Neutral,Any age,Amphotericin B
Kartagener’s Syndrome,"Chronic sinusitis, bronchiectasis, infertility",Gender Neutral,Congenital,"Antibiotics, chest physiotherapy"
Keratoacanthoma,Dome-shaped skin tumor,More common in males,50+ years,Surgical excision
Kidney Cysts (Simple),Often asymptomatic; may cause pain,Gender Neutral,50+ years,"Monitoring, drainage if symptomatic"
Kleine-Levin Syndrome,"Excessive sleep, hyperphagia",More common in males,Teens,Stimulants (modafinil)
Klippel-Feil Sequence,Same as Klippel-Feil Syndrome,Gender Neutral,Congenital,Same as Klippel-Feil
Kyasanur Forest Disease,"Fever, headache, bleeding",Gender Neutral,Any age,Supportive care
Kaposi’s Varicelliform Eruption,Blistering rash (eczema herpeticum),Gender Neutral,Any age,Antivirals (acyclovir)
Keratoderma Blenorrhagicum,Skin lesions (Reiter’s syndrome),More common in males,20-40 years,Treat underlying condition
Kidney Failure (Acute),"Reduced urine output, swelling, confusion",Gender Neutral,Any age,"Dialysis, treat cause"
Kienböck’s Disease,"Wrist pain, stiffness",More common in males,20-40 years,Surgery
Kikuchi Disease,"Swollen lymph nodes, fever",More common in females,Teens to 30s,NSAIDs
Klippel-Trénaunay-Weber Syndrome,Similar to Klippel-Trenaunay,Gender Neutral,Congenital,Same as Klippel-Trenaunay
Knee Ligament Tear (ACL),"Knee instability, swelling, pain",More common in females,Teens to 40s,"Surgery, physical therapy"
Koilonychia (Spoon Nails),Concave nails,Gender Neutral,Any age,Treat iron deficiency
Korsakoff Psychosis,Same as Korsakoff Syndrome,More common in males,40+ years,Same as Korsakoff
Krukenberg Tumor,Ovarian metastasis (from GI cancer),Female,Adults,Chemotherapy
Kuru Plaques,Neurologic decline (prion disease),Gender Neutral,Adults,No treatment
Kyphoscoliosis,Hunched back with sideways curvature,Gender Neutral,Congenital or acquired,"Bracing, surgery"
Keratosis Follicularis (Darier’s Disease),"Scaly skin patches, nail ridges",Gender Neutral,Teens to adults,Retinoids
Kidney Dysplasia,Often asymptomatic; may cause hypertension,Gender Neutral,Congenital,Blood pressure control
Kimmelstiel-Wilson Disease,Kidney damage (diabetes complication),Gender Neutral,Adults with diabetes,Blood sugar control
Knuckle Pads,Thickened skin over knuckles,Gender Neutral,Adults,None (benign)
Kocher-Debre-Semelaigne Syndrome,Muscle hypertrophy with hypothyroidism,Gender Neutral,Childhood,Thyroid hormone
Kugelberg-Welander Disease,Muscle weakness (juvenile ALS),Gender Neutral,Childhood,Supportive care
Kveim Test Reaction,Skin granuloma (sarcoidosis diagnosis),Gender Neutral,Adults,None (diagnostic test)
Kyphosis Dorsalis Juvenilis,Same as Scheuermann’s kyphosis,Gender Neutral,Teens,Same as kyphosis
Karyomegalic Interstitial Nephritis,Kidney failure,Gender Neutral,Adults,Dialysis
Keratomalacia,Corneal ulceration (vitamin A deficiency),Gender Neutral,Children,Vitamin A supplementation
Lyme Disease,"Bullseye rash, fever, joint pain, fatigue",Gender Neutral,Any age,"Doxycycline, amoxicillin"
Lupus (SLE),"Butterfly rash, joint pain, fatigue, kidney problems",More common in females (90%),15-45 years,"Hydroxychloroquine, corticosteroids"
Lung Cancer,"Persistent cough, chest pain, weight loss, coughing blood",More common in males,50+ years,"Surgery, chemotherapy, immunotherapy"
Leukemia,"Fatigue, frequent infections, easy bruising",Gender Neutral,All ages (peaks in childhood & >55 yrs),"Chemotherapy, targeted therapy"
Laryngitis,"Hoarse voice, sore throat, dry cough",Gender Neutral,Any age,"Rest, hydration, voice rest"
Liver Cirrhosis,"Fatigue, jaundice, abdominal swelling",More common in males,40+ years,"Diuretics, liver transplant"
Lymphoma (Hodgkin's & Non-Hodgkin's),"Swollen lymph nodes, fever, night sweats",More common in males,15-40 & 55+ years,"Chemotherapy, radiation"
Legg-Calvé-Perthes Disease,"Hip pain, limping (in children)",More common in males,4-10 years,"Physical therapy, surgery"
Lead Poisoning,"Abdominal pain, irritability, developmental delays",Gender Neutral,Children <6 yrs (highest risk),Chelation therapy
Lichen Planus,"Purple, itchy skin bumps, mouth sores",More common in females,30-60 years,"Corticosteroids, antihistamines"
Labyrinthitis,"Vertigo, nausea, hearing loss",Gender Neutral,30-60 years,"Meclizine, steroids"
Lactose Intolerance,"Bloating, diarrhea, gas after dairy",Gender Neutral,Any age,Lactase enzyme supplements
Legionnaires' Disease,"High fever, cough, pneumonia",More common in males,50+ years,Antibiotics (azithromycin)
Leishmaniasis,"Skin ulcers, fever, enlarged spleen",Gender Neutral,Any age,"Antimonials, miltefosine"
Leprosy (Hansen's Disease),"Skin lesions, numbness, nerve damage",More common in males,Any age,Multidrug therapy (dapsone + rifampin)
Leukoplakia,White patches in mouth (precancerous),More common in males,40+ years,"Smoking cessation, surgical removal"
Lipoma,"Soft, movable fatty lump under skin",Gender Neutral,40-60 years,Surgical removal (if bothersome)
Listeriosis,"Fever, muscle aches, diarrhea (severe in pregnancy)",Higher risk in pregnancy,Any age,Antibiotics (ampicillin)
Lockjaw (Tetanus),"Muscle spasms, jaw stiffness, fever",Gender Neutral,Any age,"Tetanus immune globulin, vaccination"
Lou Gehrig's Disease (ALS),"Muscle weakness, paralysis, difficulty speaking",More common in males,40-70 years,"Riluzole, supportive care"
Low Back Pain,Ache/stiffness in lower back,Gender Neutral,30-60 years,"NSAIDs, physical therapy"
Lumbago,Same as low back pain,Gender Neutral,Adults,Same as low back pain
Lupus Nephritis,"Blood/protein in urine, swelling (SLE complication)",More common in females,20-40 years,Immunosuppressants
Lyme Arthritis,"Joint swelling (knees), pain (late Lyme complication)",Gender Neutral,Any age,Doxycycline
Lymphadenitis,"Swollen, tender lymph nodes",Gender Neutral,Any age,Antibiotics (if bacterial)
Lymphangitis,"Red streaks on skin, fever",Gender Neutral,Any age,Antibiotics (penicillin)
Lynch Syndrome,"Increased cancer risk (colon, endometrial)",Gender Neutral,Adults,Frequent cancer screening
Laryngopharyngeal Reflux (LPR),"Chronic cough, hoarseness, throat clearing",Gender Neutral,Adults,PPIs (omeprazole)
Lazy Eye (Amblyopia),Poor vision in one eye,Gender Neutral,Childhood,"Eye patching, vision therapy"
Leg Cramps (Nocturnal),Sudden calf pain at night,More common in females,50+ years,Quinine (in severe cases)
Leiomyoma (Uterine Fibroids),"Heavy periods, pelvic pain",Female,30-50 years,"Hormonal therapy, surgery"
Leptospirosis,"High fever, headache, jaundice",More common in males,Any age,"Doxycycline, penicillin"
Leukocytoclastic Vasculitis,"Purple spots on legs, joint pain",Gender Neutral,Adults,Corticosteroids
Lichen Sclerosus,"White patches on genitals, itching",More common in females,Postmenopausal women,Topical steroids
Lipodystrophy,Abnormal fat distribution,Gender Neutral,Any age,Leptin therapy
Lissencephaly,"Developmental delays, seizures",Gender Neutral,Congenital,Supportive care
Long COVID,"Fatigue, brain fog, shortness of breath",More common in females,Adults,Symptomatic treatment
Louse-Borne Typhus,"Fever, headache, rash",Gender Neutral,Any age,Doxycycline
Lumbosacral Radiculopathy,"Sciatica, leg numbness/weakness",Gender Neutral,30-50 years,"NSAIDs, physical therapy"
Lupus Erythematosus,Same as SLE,More common in females,15-45 years,Same as SLE
Lyme Carditis,"Heart palpitations, fainting (Lyme complication)",Gender Neutral,Any age,IV antibiotics
Lymphocytic Colitis,Chronic watery diarrhea,More common in females,50+ years,Budesonide
Lymphogranuloma Venereum (LGV),"Genital ulcers, swollen lymph nodes",More common in males,20-40 years,Doxycycline
Lymphedema,Swelling in arms/legs,Gender Neutral,Any age,Compression therapy
Lynch Syndrome,Same as #552 (HNPCC),Gender Neutral,Adults,Same as #552
Laryngomalacia,Noisy breathing (stridor) in infants,More common in males,Infants,Usually resolves by age 2
Leber's Hereditary Optic Neuropathy,Sudden vision loss,More common in males,Teens to 30s,Idebenone
Lemierre's Syndrome,"Sore throat, neck pain, sepsis",Gender Neutral,Teens to young adults,IV antibiotics
Lipedema,Painful fat accumulation in legs,Female,Puberty or later,Compression therapy
Löfgren Syndrome,"Fever, arthritis, erythema nodosum (sarcoidosis variant)",More common in females,20-40 years,NSAIDs
Migraine,"Throbbing headache, nausea, light/sound sensitivity",More common in females (3:1 ratio),15-55 years,"Triptans (sumatriptan), NSAIDs"
Malaria,"High fever, chills, flu-like illness",Gender Neutral,Any age,Artemisinin-based combination therapy
Multiple Sclerosis (MS),"Fatigue, numbness, vision problems, poor coordination",More common in females (2:1 ratio),20-50 years,Disease-modifying therapies (interferon-beta)
Myocardial Infarction (Heart Attack),"Chest pain, shortness of breath, nausea",More common in males,40+ years,"Aspirin, statins, beta-blockers"
Meningitis,"Fever, stiff neck, headache, confusion",Gender Neutral,Any age (severe in infants/elderly),"Antibiotics (bacterial), antivirals (viral)"
Macular Degeneration (AMD),Blurred/central vision loss,Gender Neutral,50+ years,Anti-VEGF injections (wet AMD)
Mononucleosis (Mono),"Fatigue, sore throat, swollen lymph nodes",Gender Neutral,15-25 years,"Rest, hydration"
Melanoma,"Changing mole, irregular borders, dark spots",Slightly more common in males,30-60 years,"Surgical excision, immunotherapy"
Mastitis,"Breast pain, swelling, fever",Female (lactating women),20-35 years,Antibiotics (dicloxacillin)
Ménière's Disease,"Vertigo, tinnitus, hearing loss",More common in females,40-60 years,"Diuretics, anti-vertigo meds"
Myopia (Nearsightedness),Blurred distance vision,Gender Neutral,Childhood onset,"Corrective lenses, LASIK"
Mumps,"Swollen salivary glands, fever",Gender Neutral,Children (vaccine preventable),Supportive care
Metabolic Syndrome,"Obesity, high blood pressure, insulin resistance",Gender Neutral,40+ years,"Lifestyle changes, metformin"
Muscular Dystrophy,Progressive muscle weakness,More common in males (Duchenne type),Childhood onset,"Corticosteroids, physical therapy"
Morton's Neuroma,"Foot pain, tingling between toes",More common in females,40-60 years,"Orthotics, corticosteroid injections"
Myasthenia Gravis,"Muscle weakness, drooping eyelids","More common in females (<40), males (>60)",Any age,"Pyridostigmine, immunosuppressants"
MRSA Infection,"Skin abscesses, pneumonia, sepsis",Gender Neutral,Any age,"Vancomycin, linezolid"
Motion Sickness,"Nausea, dizziness, vomiting",More common in females,Any age,Antihistamines (dimenhydrinate)
Multiple Myeloma,"Bone pain, fatigue, frequent infections",More common in males,60+ years,"Chemotherapy, stem cell transplant"
Myxedema (Severe Hypothyroidism),"Swelling, low body temp, coma",More common in females,Adults,IV thyroid hormone
Mastocytosis,"Itchy skin, flushing, abdominal pain",Gender Neutral,Any age,"Antihistamines, steroids"
Marfan Syndrome,"Tall stature, long limbs, heart defects",Gender Neutral,Congenital (lifelong),"Beta-blockers, surgery"
Molluscum Contagiosum,Small pearly skin bumps,Gender Neutral,Children (1-10 years),"Cryotherapy, topical cantharidin"
Myocarditis,"Chest pain, arrhythmias, fatigue",More common in males,Any age,"NSAIDs, immunosuppressants"
Melasma,Brown facial patches,Female (pregnancy-related),20-50 years,"Hydroquinone, sunscreen"
Malaria (Plasmodium falciparum),Same as #577 (severe form),Gender Neutral,Any age,IV artesunate
Milk Allergy,"Hives, vomiting, anaphylaxis",Gender Neutral,Infants/children,"Epinephrine, avoidance"
Myofascial Pain Syndrome,"Muscle pain, trigger points",More common in females,30-60 years,"Physical therapy, trigger point injections"
Mucormycosis,"Sinus pain, black nasal discharge",Gender Neutral,Immunocompromised adults,Amphotericin B
Ménière's Syndrome,Same as Ménière's disease (#585),More common in females,40-60 years,Same as #585
Microcephaly,"Small head, developmental delays",Gender Neutral,Congenital,Supportive therapies
Malabsorption Syndrome,"Diarrhea, weight loss, nutrient deficiencies",Gender Neutral,Any age,Treat underlying cause
Meralgia Paresthetica,"Thigh numbness, burning pain",More common in males,30-60 years,"NSAIDs, nerve blocks"
Myxoma (Cardiac),"Shortness of breath, fainting",More common in females,30-60 years,Surgical removal
Mastoiditis,"Ear pain, fever, swollen mastoid",Gender Neutral,Children,IV antibiotics
Mucopolysaccharidosis,"Coarse facial features, skeletal abnormalities",Gender Neutral,Childhood onset,Enzyme replacement therapy
Myelofibrosis,"Fatigue, enlarged spleen, anemia",Gender Neutral,60+ years,JAK inhibitors (ruxolitinib)
Munchausen Syndrome,Faking illness for attention,More common in females,20-40 years,Psychotherapy
Maple Syrup Urine Disease,"Sweet-smelling urine, seizures (in infants)",Gender Neutral,Newborns,Dietary management
Myelodysplastic Syndrome,"Fatigue, easy bruising, infections",More common in males,60+ years,Blood transfusions
Milk-Alkali Syndrome,"Confusion, kidney stones",Gender Neutral,Adults,Calcium restriction
Mucocele (Oral),Small fluid-filled mouth bump,Gender Neutral,Any age,Surgical removal
Myelitis,"Limb weakness, sensory loss",Gender Neutral,Any age,Corticosteroids
Metatarsalgia,Ball-of-foot pain,More common in females,40-60 years,"Orthotics, NSAIDs"
Microsporidiosis,Diarrhea (in HIV patients),Gender Neutral,Adults,Albendazole
Miliaria (Heat Rash),"Small red bumps, itching",Gender Neutral,Infants/adults,Cool compresses
Mitochondrial Disease,"Muscle weakness, seizures, developmental delays",Gender Neutral,Any age,Supportive care
Mixed Connective Tissue Disease,"Raynaud's, joint pain, swollen hands",More common in females,20-50 years,Corticosteroids
Mollaret's Meningitis,"Recurrent fever, headache",Gender Neutral,Adults,Antivirals
Mucous Cyst (Digital),Small finger cyst near nail,Gender Neutral,40-70 years,Surgical drainage
Norovirus Infection,"Severe vomiting, diarrhea, stomach cramps",Gender Neutral,Any age,"Hydration, anti-nausea meds (ondansetron)"
Nonalcoholic Fatty Liver Disease (NAFLD),"Fatigue, right upper abdominal discomfort",More common in males,40+ years,"Weight loss, vitamin E"
Narcolepsy,"Excessive daytime sleepiness, cataplexy",Gender Neutral,Teens to 30s,"Modafinil, sodium oxybate"
Nephrotic Syndrome,"Swelling (edema), proteinuria, foamy urine",Gender Neutral,Children (2-6 yrs) & adults,"Corticosteroids, diuretics"
Neurofibromatosis,"Skin tumors (neurofibromas), café-au-lait spots",Gender Neutral,Congenital (lifelong),Surgery for problematic tumors
Nail Fungus (Onychomycosis),"Thickened, discolored nails",More common in males,Adults,"Oral terbinafine, topical ciclopirox"
Necrotizing Fasciitis,"Severe pain, red/swollen skin, fever",Gender Neutral,Any age,"Emergency surgery, IV antibiotics"
Neonatal Jaundice,Yellow skin/eyes in newborns,Gender Neutral,Newborns (first week),"Phototherapy, exchange transfusion"
Nystagmus,Involuntary eye movements,Gender Neutral,Any age,Treat underlying cause
Non-Hodgkin Lymphoma,"Swollen lymph nodes, fever, weight loss",More common in males,60+ years,Chemotherapy (R-CHOP)
Nosebleed (Epistaxis),Bleeding from nostrils,Gender Neutral,Any age,"Nasal packing, cauterization"
Niemann-Pick Disease,"Enlarged liver/spleen, neurological decline",Gender Neutral,Childhood,Supportive care
Night Blindness (Nyctalopia),Poor vision in low light,Gender Neutral,Any age,Vitamin A (if deficient)
Necrotizing Enterocolitis,"Abdominal distension, bloody stools (in preemies)",Gender Neutral,Premature infants,"Antibiotics, surgery"
Nickel Allergy,Itchy rash at contact site,More common in females,Any age,"Topical steroids, avoidance"
Nephritis,"Blood/protein in urine, swelling",Gender Neutral,Any age,Corticosteroids
Noonan Syndrome,"Short stature, heart defects, facial abnormalities",Gender Neutral,Congenital,"Growth hormone, heart monitoring"
Neuropathy (Peripheral),Numbness/tingling in hands/feet,Gender Neutral,50+ years,"Gabapentin, duloxetine"
Nocardiosis,"Pneumonia, skin abscesses (in immunocompromised)",More common in males,Adults,Sulfonamides
Nonalcoholic Steatohepatitis (NASH),Same as NAFLD (#627) with liver inflammation,More common in males,40+ years,"Weight loss, vitamin E"
Night Terrors,Screaming/thrashing during sleep,Gender Neutral,Children 3-12 years,"Reassurance, scheduled awakenings"
Nodular Melanoma,Fast-growing dark skin nodule,More common in males,50+ years,Surgical excision
Nasal Polyps,"Nasal congestion, loss of smell",More common in males,30+ years,"Nasal steroids, surgery"
Necrotizing Ulcerative Gingivitis,"Painful gums, bleeding, foul taste",Gender Neutral,Teens to young adults,Antibiotics (metronidazole)
Nephrogenic Diabetes Insipidus,Excessive thirst/urination,Gender Neutral,Any age,Thiazide diuretics
Neuroblastoma,"Abdominal mass, bone pain (in children)",Gender Neutral,<5 years,"Chemotherapy, surgery"
Neutropenia,Frequent infections,Gender Neutral,Any age,G-CSF injections
Nipple Discharge,Milky/bloody nipple secretion,Female,20-50 years,Treat underlying cause
Nodular Goiter,"Thyroid nodules, possible neck swelling",More common in females,30+ years,"Thyroid hormone, surgery"
Nonallergic Rhinitis,Nasal congestion without allergy,Gender Neutral,Adults,Nasal antihistamines
Neurodermatitis,"Thickened, itchy skin patches",More common in females,30-50 years,Topical steroids
Necrobiosis Lipoidica,Shiny patches on shins (linked to diabetes),More common in females,Adults,Topical steroids
Neonatal Herpes,"Blisters, fever, seizures (in newborns)",Gender Neutral,Newborns,IV acyclovir
Nail Psoriasis,"Pitted, thickened nails",Gender Neutral,Adults,Topical steroids
Neuroleptic Malignant Syndrome,"Fever, muscle rigidity (drug reaction)",Gender Neutral,Any age,"Dantrolene, cooling"
Nut Allergy,"Hives, swelling, anaphylaxis",Gender Neutral,Any age,"Epinephrine, avoidance"
Nasopharyngeal Carcinoma,"Neck mass, nosebleeds, hearing loss",More common in males,40-60 years,"Radiation, chemotherapy"
Nummular Eczema,Coin-shaped itchy patches,Gender Neutral,Adults,Topical steroids
Neonatal Abstinence Syndrome,"Irritability, tremors (drug-exposed newborns)",Gender Neutral,Newborns,Morphine taper
Nail Patella Syndrome,"Missing/abnormal nails, kidney problems",Gender Neutral,Congenital,Treat kidney complications
Neurocysticercosis,"Seizures, headaches (parasitic brain infection)",Gender Neutral,Any age,"Albendazole, steroids"
Neonatal Conjunctivitis,"Red, swollen eyes (in newborns)",Gender Neutral,Newborns,Antibiotic eye drops
Nodular Sclerosis Hodgkin Lymphoma,Same as Hodgkin's (#635) with fibrous bands,More common in females,15-35 years,Same as Hodgkin's
Necrolytic Migratory Erythema,"Red, blistering rash (glucagonoma sign)",Gender Neutral,Adults,Treat pancreatic tumor
Nonbacterial Prostatitis,"Pelvic pain, urinary symptoms",Male,30-50 years,Alpha-blockers
Neonatal Hypothyroidism,"Jaundice, poor feeding, lethargy",Gender Neutral,Newborns,Levothyroxine
Neuroendocrine Tumors,"Flushing, diarrhea, wheezing",Gender Neutral,Adults,Somatostatin analogs
Nail Bed Injury,"Pain, bleeding under nail",Gender Neutral,Any age,"Drainage, nail removal"
Neonatal Sepsis,"Fever, lethargy, poor feeding",Gender Neutral,Newborns,IV antibiotics
Nail Clubbing,"Rounded, enlarged fingertips",Gender Neutral,Any age,Treat underlying lung/heart disease
Osteoarthritis,"Joint pain, stiffness, reduced mobility",More common in females,50+ years,"NSAIDs (ibuprofen), physical therapy"
Obesity,"Excessive body fat, BMI ≥30",Gender Neutral,Any age,"Orlistat, semaglutide (Wegovy)"
Osteoporosis,"Bone fractures, loss of height, back pain",More common in females,50+ years,Bisphosphonates (alendronate)
Otitis Media (Middle Ear Infection),"Ear pain, fever, hearing loss",Gender Neutral,Children (6m-2yrs),"Amoxicillin, pain relievers"
Ovarian Cancer,"Abdominal bloating, pelvic pain, weight loss",Female,50+ years,"Surgery, chemotherapy"
Obsessive-Compulsive Disorder (OCD),"Intrusive thoughts, repetitive behaviors",Gender Neutral,Teens to adults,"SSRIs (fluoxetine), CBT"
Oral Thrush (Candidiasis),"White mouth patches, soreness",Gender Neutral,Infants & immunocompromised,Antifungals (nystatin)
Osteomyelitis,"Bone pain, fever, swelling",Gender Neutral,Any age,IV antibiotics (vancomycin)
Optic Neuritis,"Vision loss, eye pain (MS-related)",More common in females,20-40 years,IV steroids
Onychomycosis (Nail Fungus),"Thickened, discolored nails",More common in males,Adults,"Terbinafine, ciclopirox"
Ocular Hypertension,Elevated eye pressure (no vision loss),Gender Neutral,40+ years,Eye drops (timolol)
Osgood-Schlatter Disease,Knee pain below kneecap (in active teens),More common in males,10-15 years,"Rest, ice, NSAIDs"
Otitis Externa (Swimmer's Ear),"Ear pain, itching, discharge",Gender Neutral,Any age,Antibiotic ear drops
Ovarian Cysts,"Pelvic pain, bloating (often asymptomatic)",Female,20-50 years,"Monitoring, birth control pills"
Oral Herpes (HSV-1),"Cold sores, fever blisters",Gender Neutral,Any age,"Acyclovir, valacyclovir"
Obstructive Sleep Apnea,"Snoring, daytime sleepiness, gasping at night",More common in males,40+ years,"CPAP, oral appliances"
Osteogenesis Imperfecta (Brittle Bone Disease),"Frequent fractures, blue sclera",Gender Neutral,Congenital,Bisphosphonates
Otosclerosis,"Progressive hearing loss, tinnitus",More common in females,20-40 years,"Hearing aids, surgery"
Orchitis,"Testicular pain, swelling",Male,Teens to adults,Antibiotics (if bacterial)
Osteopenia,Reduced bone density (pre-osteoporosis),More common in females,50+ years,Calcium/vitamin D
Oral Lichen Planus,"White lace-like mouth patches, pain",More common in females,30-60 years,Topical corticosteroids
Ocular Migraine,Temporary vision disturbances,More common in females,20-50 years,"Rest, migraine prevention"
Osteochondritis Dissecans,"Joint pain, locking (knee/elbow)",More common in males,10-20 years,"Rest, surgery"
Opioid Use Disorder,"Cravings, withdrawal symptoms",More common in males,20-50 years,"Buprenorphine, methadone"
Onycholysis,Nail separation from nail bed,Gender Neutral,Adults,Treat underlying cause
Orthostatic Hypotension,Dizziness upon standing,Gender Neutral,Elderly,"Fludrocortisone, increased salt"
Osteomalacia,"Bone pain, muscle weakness",Gender Neutral,Adults,Vitamin D/calcium
Ocular Rosacea,"Red, irritated eyes, dry eye",More common in females,30-50 years,Antibiotics (doxycycline)
Otomycosis (Fungal Ear Infection),"Itchy ear, discharge",Gender Neutral,Any age,Antifungal ear drops
Oligohydramnios,Low amniotic fluid (in pregnancy),Female,Pregnant women,Amnioinfusion
Osteochondroma,Bony growth near joints,Gender Neutral,10-20 years,Surgical removal
Oral Leukoplakia,White mouth patches (precancerous),More common in males,40+ years,Smoking cessation
Oculogyric Crisis,Involuntary upward eye deviation,Gender Neutral,Any age,Anticholinergics
Osteosarcoma,"Bone pain, swelling (in long bones)",Slightly more common in males,Teens,"Chemotherapy, surgery"
Ovarian Hyperstimulation Syndrome,"Abdominal pain, swelling (fertility treatment complication)",Female,20-40 years,IV fluids
